algae 	 Dunaliella_primolecta 	 released
amphibians 	 Bufo_bufo 	 released
amphibians 	 Rana_temporaria 	 released
arthropods 	 Dolomedes_plantarius 	 released
arthropods 	 Sacculina_carcini 	 released
birds 	 Aquila_chrysaetos_chrysaetos 	 released
birds 	 Caprimulgus_europaeus 	 released
birds 	 Erithacus_rubecula 	 released
birds 	 Streptopelia_turtur 	 released
chordates 	 Aplidium_turbinatum 	 released
dicots 	 Impatiens_glandulifera 	 released
dicots 	 Malus_sylvestris 	 released
echinoderms 	 Asterias_rubens 	 released
echinoderms 	 Marthasterias_glacialis 	 released
fish 	 Pholis_gunnellus 	 released
fish 	 Salmo_trutta 	 released
fish 	 Taurulus_bubalis 	 released
fish 	 Trachurus_trachurus 	 released
insects 	 Abrostola_tripartita 	 released
insects 	 Acronicta_aceris 	 released
insects 	 Adalia_bipunctata 	 released
insects 	 Aelia_acuminata 	 released
insects 	 Agriopis_aurantiaria 	 released
insects 	 Agrochola_circellaris 	 released
insects 	 Agrochola_macilenta 	 released
insects 	 Amphipyra_berbera 	 released
insects 	 Amphipyra_tragopoginis 	 released
insects 	 Ancistrocerus_nigricornis 	 released
insects 	 Andrena_haemorrhoa 	 released
insects 	 Anoplius_nigerrimus 	 released
insects 	 Anthocharis_cardamines 	 released
insects 	 Apamea_monoglypha 	 released
insects 	 Aphantopus_hyperantus 	 released
insects 	 Apoderus_coryli 	 released
insects 	 Aporia_crataegi 	 released
insects 	 Apotomis_turbidana 	 released
insects 	 Aricia_agestis 	 released
insects 	 Atethmia_centrago 	 released
insects 	 Autographa_gamma 	 released
insects 	 Autographa_pulchrina 	 released
insects 	 Bellardia_pandia 	 released
insects 	 Bembecia_ichneumoniformis 	 released
insects 	 Bibio_marci 	 released
insects 	 Biston_betularia 	 released
insects 	 Blastobasis_adustella 	 released
insects 	 Blastobasis_lacticolella 	 released
insects 	 Boloria_selene 	 released
insects 	 Bombus_campestris 	 released
insects 	 Bombus_hortorum 	 released
insects 	 Bombus_hypnorum 	 released
insects 	 Bombus_pascuorum 	 released
insects 	 Bombus_sylvestris 	 released
insects 	 Brachyptera_putata 	 released
insects 	 Campaea_margaritaria 	 released
insects 	 Cantharis_rustica 	 released
insects 	 Carcina_quercana 	 released
insects 	 Celastrina_argiolus 	 released
insects 	 Cerceris_rybyensis 	 released
insects 	 Cheilosia_vulpina 	 released
insects 	 Chrysoperla_carnea 	 released
insects 	 Chrysoteuchia_culmella 	 released
insects 	 Chrysotoxum_bicinctum 	 released
insects 	 Clostera_curtula 	 released
insects 	 Clusia_tigrina 	 released
insects 	 Coccinella_septempunctata 	 released
insects 	 Colias_croceus 	 released
insects 	 Coremacera_marginata 	 released
insects 	 Cosmia_trapezina 	 released
insects 	 Craniophora_ligustri 	 released
insects 	 Criorhina_berberina 	 released
insects 	 Crocallis_elinguaria 	 released
insects 	 Cyaniris_semiargus 	 released
insects 	 Cydia_splendana 	 released
insects 	 Deilephila_porcellus 	 released
insects 	 Dolichovespula_media 	 released
insects 	 Dolichovespula_saxonica 	 released
insects 	 Dolichovespula_sylvestris 	 released
insects 	 Dryobotodes_eremita 	 released
insects 	 Ectemnius_continuus 	 released
insects 	 Ectemnius_lituratus 	 released
insects 	 Eilema_depressum 	 released
insects 	 Eilema_sororcula 	 released
insects 	 Emmelina_monodactyla 	 released
insects 	 Endotricha_flammealis 	 released
insects 	 Ennomos_fuscantarius 	 released
insects 	 Ennomos_quercinarius 	 released
insects 	 Erannis_defoliaria 	 released
insects 	 Erebia_ligea 	 released
insects 	 Eristalis_arbustorum 	 released
insects 	 Eristalis_pertinax 	 released
insects 	 Eristalis_tenax 	 released
insects 	 Erynnis_tages 	 released
insects 	 Eulithis_prunata 	 released
insects 	 Eupeodes_latifasciatus 	 released
insects 	 Euproctis_similis 	 released
insects 	 Eupsilia_transversa 	 released
insects 	 Fabriciana_adippe 	 released
insects 	 Furcula_furcula 	 released
insects 	 Glaucopsyche_alexis 	 released
insects 	 Griposia_aprilina 	 released
insects 	 Gymnosoma_rotundatum 	 released
insects 	 Habrosyne_pyritoides 	 released
insects 	 Harmonia_axyridis 	 released
insects 	 Hecatera_dysodea 	 released
insects 	 Hedya_salicella 	 released
insects 	 Hemaris_fuciformis 	 released
insects 	 Hesperia_comma 	 released
insects 	 Hydraecia_micacea 	 released
insects 	 Hydriomena_furcata 	 released
insects 	 Hylaea_fasciaria 	 released
insects 	 Hypena_proboscidalis 	 released
insects 	 Ichneumon_xanthorius 	 released
insects 	 Idaea_aversata 	 released
insects 	 Inachis_io 	 released
insects 	 Laothoe_populi 	 released
insects 	 Lasioglossum_lativentre 	 released
insects 	 Lasioglossum_morio 	 released
insects 	 Laspeyria_flexula 	 released
insects 	 Leptidea_sinapis 	 released
insects 	 Limenitis_camilla 	 released
insects 	 Limnephilus_lunatus 	 released
insects 	 Limnephilus_marmoratus 	 released
insects 	 Lycaena_phlaeas 	 released
insects 	 Lymantria_monacha 	 released
insects 	 Lysandra_bellargus 	 released
insects 	 Lysandra_coridon 	 released
insects 	 Macropis_europaea 	 released
insects 	 Malachius_bipustulatus 	 released
insects 	 Mamestra_brassicae 	 released
insects 	 Maniola_jurtina 	 released
insects 	 Melanargia_galathea 	 released
insects 	 Melanostoma_mellinum 	 released
insects 	 Melitaea_cinxia 	 released
insects 	 Mellicta_athalia 	 released
insects 	 Mesoligia_furuncula 	 released
insects 	 Mimas_tiliae 	 released
insects 	 Mimumesa_dahlbomi 	 released
insects 	 Mythimna_ferrago 	 released
insects 	 Mythimna_impura 	 released
insects 	 Noctua_fimbriata 	 released
insects 	 Noctua_janthe 	 released
insects 	 Noctua_pronuba 	 released
insects 	 Nomada_fabriciana 	 released
insects 	 Notocelia_uddmanniana 	 released
insects 	 Notodonta_dromedarius 	 released
insects 	 Notodonta_ziczac 	 released
insects 	 Nymphalis_polychloros 	 released
insects 	 Nymphalis_urticae 	 released
insects 	 Nysson_spinosus 	 released
insects 	 Ochlodes_sylvanus 	 released
insects 	 Ochropleura_plecta 	 released
insects 	 Ocypus_olens 	 released
insects 	 Omphaloscelis_lunosa 	 released
insects 	 Orgyia_antiqua 	 released
insects 	 Pammene_fasciana 	 released
insects 	 Parapoynx_stratiotata 	 released
insects 	 Pararge_aegeria 	 released
insects 	 Peribatodes_rhomboidaria 	 released
insects 	 Phalera_bucephala 	 released
insects 	 Pheosia_gnoma 	 released
insects 	 Pheosia_tremula 	 released
insects 	 Philereme_vetulata 	 released
insects 	 Phlogophora_meticulosa 	 released
insects 	 Pieris_brassicae 	 released
insects 	 Pieris_napi 	 released
insects 	 Platycheirus_albimanus 	 released
insects 	 Plebejus_argus 	 released
insects 	 Pterostichus_madidus 	 released
insects 	 Ptilodon_capucinus 	 released
insects 	 Pyrgus_malvae 	 released
insects 	 Pyrochroa_serraticornis 	 released
insects 	 Rhagonycha_fulva 	 released
insects 	 Scaeva_pyrastri 	 released
insects 	 Schrankia_costaestrigalis 	 released
insects 	 Seladonia_tumulorum 	 released
insects 	 Selenia_dentaria 	 released
insects 	 Sesia_apiformis 	 released
insects 	 Sphecodes_monilicornis 	 released
insects 	 Spilarctia_lutea 	 released
insects 	 Spilosoma_lubricipeda 	 released
insects 	 Synanthedon_vespiformis 	 released
insects 	 Syritta_pipiens 	 released
insects 	 Tachina_fera 	 released
insects 	 Tenthredo_notha 	 released
insects 	 Thecocarcelia_acutangulata 	 released
insects 	 Thyatira_batis 	 released
insects 	 Thymelicus_sylvestris 	 released
insects 	 Tinea_semifulvella 	 released
insects 	 Tinea_trinotella 	 released
insects 	 Vanessa_atalanta 	 released
insects 	 Vanessa_cardui 	 released
insects 	 Vespa_crabro 	 released
insects 	 Vespa_velutina 	 released
insects 	 Vespula_germanica 	 released
insects 	 Vespula_vulgaris 	 released
insects 	 Volucella_inanis 	 released
insects 	 Xanthogramma_pedissequum 	 released
insects 	 Xestia_c-nigrum 	 released
insects 	 Xestia_xanthographa 	 released
insects 	 Xylota_sylvarum 	 released
insects 	 Ypsolopha_scabrella 	 released
insects 	 Zeuzera_pyrina 	 released
insects 	 Zygaena_filipendulae 	 released
jellyfish 	 Diadumene_lineata 	 released
jellyfish 	 Haliclystus_octoradiatus 	 released
mammals 	 Arvicola_amphibius 	 released
mammals 	 Canis_lupus 	 released
mammals 	 Cervus_elaphus 	 released
mammals 	 Lutra_lutra 	 released
mammals 	 Pipistrellus_pipistrellus 	 released
mammals 	 Rattus_norvegicus 	 released
mammals 	 Sciurus_carolinensis 	 released
mammals 	 Sciurus_vulgaris 	 released
molluscs 	 Patella_pellucida 	 released
molluscs 	 Pecten_maximus 	 released
molluscs 	 Steromphala_cineraria 	 released
other-animal-phyla 	 Lineus_longissimus 	 released
other-animal-phyla 	 Membranipora_membranacea 	 released
sharks 	 Scyliorhinus_canicula 	 released
algae 	 Dunaliella_primolecta 	 curated
amphibians 	 Bufo_bufo 	 curated
amphibians 	 Rana_temporaria 	 curated
arthropods 	 Dolomedes_plantarius 	 curated
arthropods 	 Sacculina_carcini 	 curated
arthropods 	 Sacculina_carcini 	 curated
birds 	 Aquila_chrysaetos_chrysaetos 	 curated
birds 	 Aquila_chrysaetos_chrysaetos 	 curated
birds 	 Aquila_chrysaetos_chrysaetos 	 curated
birds 	 Aquila_chrysaetos_chrysaetos 	 curated
birds 	 Caprimulgus_europaeus 	 curated
birds 	 Erithacus_rubecula 	 curated
birds 	 Erithacus_rubecula 	 curated
birds 	 Streptopelia_turtur 	 curated
birds 	 Streptopelia_turtur 	 curated
chordates 	 Aplidium_turbinatum 	 curated
dicots 	 Ailanthus_altissima 	 curated
dicots 	 Alnus_glutinosa 	 curated
dicots 	 Filipendula_ulmaria 	 curated
dicots 	 Impatiens_glandulifera 	 curated
dicots 	 Lycopus_europaeus 	 curated
dicots 	 Malus_domestica 	 curated
dicots 	 Malus_domestica 	 curated
dicots 	 Malus_domestica 	 curated
dicots 	 Malus_domestica 	 curated
dicots 	 Malus_sylvestris 	 curated
dicots 	 Medicago_arabica 	 curated
dicots 	 Potentilla_anserina 	 curated
dicots 	 Quercus_robur 	 curated
echinoderms 	 Asterias_rubens 	 curated
echinoderms 	 Asterias_rubens 	 curated
echinoderms 	 Asterias_rubens 	 curated
echinoderms 	 Marthasterias_glacialis 	 curated
fish 	 Pholis_gunnellus 	 curated
fish 	 Pholis_gunnellus 	 curated
fish 	 Salmo_trutta 	 curated
fish 	 Salmo_trutta 	 curated
fish 	 Taurulus_bubalis 	 curated
fish 	 Trachurus_trachurus 	 curated
fish 	 Trachurus_trachurus 	 curated
insects 	 Abrostola_tripartita 	 curated
insects 	 Acleris_sparsana 	 curated
insects 	 Acronicta_aceris 	 curated
insects 	 Adalia_bipunctata 	 curated
insects 	 Aelia_acuminata 	 curated
insects 	 Agonopterix_arenella 	 curated
insects 	 Agonopterix_subpropinquella 	 curated
insects 	 Agriopis_aurantiaria 	 curated
insects 	 Agrochola_circellaris 	 curated
insects 	 Agrochola_macilenta 	 curated
insects 	 Amphipyra_berbera 	 curated
insects 	 Amphipyra_tragopoginis 	 curated
insects 	 Ancistrocerus_nigricornis 	 curated
insects 	 Andrena_haemorrhoa 	 curated
insects 	 Anoplius_nigerrimus 	 curated
insects 	 Anthocharis_cardamines 	 curated
insects 	 Apamea_monoglypha 	 curated
insects 	 Aphantopus_hyperantus 	 curated
insects 	 Aphantopus_hyperantus 	 curated
insects 	 Aplocera_efformata 	 curated
insects 	 Apoderus_coryli 	 curated
insects 	 Aporia_crataegi 	 curated
insects 	 Apotomis_turbidana 	 curated
insects 	 Aricia_agestis 	 curated
insects 	 Aricia_artaxerxes 	 curated
insects 	 Atethmia_centrago 	 curated
insects 	 Atethmia_centrago 	 curated
insects 	 Athalia_rosae 	 curated
insects 	 Athalia_rosae 	 curated
insects 	 Autographa_gamma 	 curated
insects 	 Autographa_pulchrina 	 curated
insects 	 Bellardia_pandia 	 curated
insects 	 Bembecia_ichneumoniformis 	 curated
insects 	 Bibio_marci 	 curated
insects 	 Biston_betularia 	 curated
insects 	 Blastobasis_adustella 	 curated
insects 	 Blastobasis_lacticolella 	 curated
insects 	 Boloria_selene 	 curated
insects 	 Boloria_selene 	 curated
insects 	 Bombus_campestris 	 curated
insects 	 Bombus_campestris 	 curated
insects 	 Bombus_hortorum 	 curated
insects 	 Bombus_hypnorum 	 curated
insects 	 Bombus_pascuorum 	 curated
insects 	 Bombus_sylvestris 	 curated
insects 	 Bombus_terrestris 	 curated
insects 	 Brachyptera_putata 	 curated
insects 	 Calamotropha_paludella 	 curated
insects 	 Campaea_margaritaria 	 curated
insects 	 Cantharis_rustica 	 curated
insects 	 Carcina_quercana 	 curated
insects 	 Celastrina_argiolus 	 curated
insects 	 Cerceris_rybyensis 	 curated
insects 	 Cheilosia_vulpina 	 curated
insects 	 Chrysoperla_carnea 	 curated
insects 	 Chrysoteuchia_culmella 	 curated
insects 	 Chrysotoxum_bicinctum 	 curated
insects 	 Clostera_curtula 	 curated
insects 	 Clusia_tigrina 	 curated
insects 	 Coccinella_septempunctata 	 curated
insects 	 Colias_croceus 	 curated
insects 	 Coremacera_marginata 	 curated
insects 	 Cosmia_trapezina 	 curated
insects 	 Craniophora_ligustri 	 curated
insects 	 Criorhina_berberina 	 curated
insects 	 Crocallis_elinguaria 	 curated
insects 	 Cyaniris_semiargus 	 curated
insects 	 Cydia_splendana 	 curated
insects 	 Deilephila_porcellus 	 curated
insects 	 Dolichovespula_media 	 curated
insects 	 Dolichovespula_saxonica 	 curated
insects 	 Dolichovespula_sylvestris 	 curated
insects 	 Dolichovespula_sylvestris 	 curated
insects 	 Dryobotodes_eremita 	 curated
insects 	 Ectemnius_continuus 	 curated
insects 	 Ectemnius_lituratus 	 curated
insects 	 Eilema_depressum 	 curated
insects 	 Eilema_sororcula 	 curated
insects 	 Emmelina_monodactyla 	 curated
insects 	 Endotricha_flammealis 	 curated
insects 	 Ennomos_fuscantarius 	 curated
insects 	 Ennomos_quercinarius 	 curated
insects 	 Erannis_defoliaria 	 curated
insects 	 Erebia_aethiops 	 curated
insects 	 Erebia_ligea 	 curated
insects 	 Eristalis_arbustorum 	 curated
insects 	 Eristalis_pertinax 	 curated
insects 	 Eristalis_tenax 	 curated
insects 	 Eristalis_tenax 	 curated
insects 	 Erynnis_tages 	 curated
insects 	 Eulithis_prunata 	 curated
insects 	 Eupeodes_latifasciatus 	 curated
insects 	 Euplexia_lucipara 	 curated
insects 	 Euproctis_similis 	 curated
insects 	 Eupsilia_transversa 	 curated
insects 	 Fabriciana_adippe 	 curated
insects 	 Furcula_furcula 	 curated
insects 	 Glaucopsyche_alexis 	 curated
insects 	 Griposia_aprilina 	 curated
insects 	 Gymnosoma_rotundatum 	 curated
insects 	 Habrosyne_pyritoides 	 curated
insects 	 Harmonia_axyridis 	 curated
insects 	 Hecatera_dysodea 	 curated
insects 	 Hedya_salicella 	 curated
insects 	 Hedya_salicella 	 curated
insects 	 Hemaris_fuciformis 	 curated
insects 	 Hesperia_comma 	 curated
insects 	 Hydraecia_micacea 	 curated
insects 	 Hydriomena_furcata 	 curated
insects 	 Hylaea_fasciaria 	 curated
insects 	 Hypena_proboscidalis 	 curated
insects 	 Ichneumon_xanthorius 	 curated
insects 	 Idaea_aversata 	 curated
insects 	 Inachis_io 	 curated
insects 	 Inachis_io 	 curated
insects 	 Ischnura_elegans 	 curated
insects 	 Laothoe_populi 	 curated
insects 	 Lasioglossum_lativentre 	 curated
insects 	 Lasioglossum_morio 	 curated
insects 	 Laspeyria_flexula 	 curated
insects 	 Leptidea_sinapis 	 curated
insects 	 Limenitis_camilla 	 curated
insects 	 Limnephilus_lunatus 	 curated
insects 	 Limnephilus_marmoratus 	 curated
insects 	 Luperina_testacea 	 curated
insects 	 Lycaena_phlaeas 	 curated
insects 	 Lymantria_monacha 	 curated
insects 	 Lysandra_bellargus 	 curated
insects 	 Lysandra_coridon 	 curated
insects 	 Macaria_notata 	 curated
insects 	 Macropis_europaea 	 curated
insects 	 Macropis_europaea 	 curated
insects 	 Malachius_bipustulatus 	 curated
insects 	 Mamestra_brassicae 	 curated
insects 	 Maniola_jurtina 	 curated
insects 	 Marasmarcha_lunaedactyla 	 curated
insects 	 Melanargia_galathea 	 curated
insects 	 Melanostoma_mellinum 	 curated
insects 	 Melitaea_cinxia 	 curated
insects 	 Mellicta_athalia 	 curated
insects 	 Mesoligia_furuncula 	 curated
insects 	 Mimas_tiliae 	 curated
insects 	 Mimumesa_dahlbomi 	 curated
insects 	 Mimumesa_dahlbomi 	 curated
insects 	 Mythimna_ferrago 	 curated
insects 	 Mythimna_impura 	 curated
insects 	 Nemoura_dubitans 	 curated
insects 	 Nemurella_pictetii 	 curated
insects 	 Noctua_fimbriata 	 curated
insects 	 Noctua_janthe 	 curated
insects 	 Noctua_pronuba 	 curated
insects 	 Nomada_fabriciana 	 curated
insects 	 Notocelia_uddmanniana 	 curated
insects 	 Notodonta_dromedarius 	 curated
insects 	 Notodonta_ziczac 	 curated
insects 	 Nymphalis_polychloros 	 curated
insects 	 Nymphalis_urticae 	 curated
insects 	 Nysson_spinosus 	 curated
insects 	 Ochlodes_sylvanus 	 curated
insects 	 Ochropleura_plecta 	 curated
insects 	 Ocypus_olens 	 curated
insects 	 Omphaloscelis_lunosa 	 curated
insects 	 Orgyia_antiqua 	 curated
insects 	 Osmia_bicornis 	 curated
insects 	 Pammene_fasciana 	 curated
insects 	 Papilio_machaon 	 curated
insects 	 Parapoynx_stratiotata 	 curated
insects 	 Pararge_aegeria 	 curated
insects 	 Peribatodes_rhomboidaria 	 curated
insects 	 Phalera_bucephala 	 curated
insects 	 Phalera_bucephala 	 curated
insects 	 Pheosia_gnoma 	 curated
insects 	 Pheosia_tremula 	 curated
insects 	 Philereme_vetulata 	 curated
insects 	 Phlogophora_meticulosa 	 curated
